time,cpu,mem,ram,disk,disk_io,network,gpu load,gpu memutil
2021-03-08 19:17:55.221767,2.5,1134.28125,2212.01953125,10088.0625,"{'rc': 0, 'wc': 0, 'rb': 0, 'wb': 0}","{'sent': -49581981.71489239, 'recv': -5160846878.228073}",0.0,0.0
2021-03-08 19:17:58.778238,2.7,2143.8828125,3088.4921875,10088.0625,"{'rc': 0, 'wc': 2, 'rb': 0, 'wb': 40960}","{'sent': -49581981.711102486, 'recv': -5160846878.163277}",4.0,94.31874077717659
2021-03-08 19:18:00.862864,2.7,3407.22265625,4348.74609375,10088.0625,"{'rc': 0, 'wc': 4, 'rb': 0, 'wb': 73728}","{'sent': -49581981.70637798, 'recv': -5160846878.126146}",0.0,95.30250860796852
2021-03-08 19:18:03.036662,3.9,2694.640625,3635.640625,10088.0625,"{'rc': 0, 'wc': 4, 'rb': 0, 'wb': 73728}","{'sent': -49581981.70613766, 'recv': -5160846878.090492}",6.0,95.30250860796852
2021-03-08 19:18:05.133817,3.9,2695.69921875,3635.91015625,10088.0625,"{'rc': 0, 'wc': 4, 'rb': 0, 'wb': 73728}","{'sent': -49581981.70444107, 'recv': -5160846878.052933}",8.0,95.30250860796852
2021-03-08 19:18:07.234383,3.9,2695.33203125,3635.84375,10088.0625,"{'rc': 0, 'wc': 4, 'rb': 0, 'wb': 73728}","{'sent': -49581981.70293999, 'recv': -5160846878.013866}",7.000000000000001,95.30250860796852
2021-03-08 19:18:09.328423,3.8,2694.10546875,3635.9609375,10088.0625,"{'rc': 0, 'wc': 4, 'rb': 0, 'wb': 73728}","{'sent': -49581981.70293999, 'recv': -5160846877.976845}",8.0,95.30250860796852
2021-03-08 19:18:11.436258,3.7,2696.16796875,3637.828125,10088.0625,"{'rc': 0, 'wc': 14, 'rb': 0, 'wb': 131072}","{'sent': -49581981.70293999, 'recv': -5160846877.938736}",7.000000000000001,95.30250860796852
2021-03-08 19:18:13.536596,3.7,2695.96484375,3637.87890625,10088.0625,"{'rc': 0, 'wc': 26, 'rb': 0, 'wb': 196608}","{'sent': -49581981.70269966, 'recv': -5160846877.899248}",8.0,95.30250860796852
2021-03-08 19:18:15.633913,4.0,2695.4765625,3637.8828125,10088.0625,"{'rc': 0, 'wc': 26, 'rb': 0, 'wb': 196608}","{'sent': -49581981.70269966, 'recv': -5160846877.861082}",8.0,95.30250860796852
2021-03-08 19:18:17.732823,3.8,2695.34765625,3637.71875,10088.0625,"{'rc': 0, 'wc': 26, 'rb': 0, 'wb': 196608}","{'sent': -49581981.70269966, 'recv': -5160846877.824404}",6.0,95.30250860796852
2021-03-08 19:18:19.831074,3.0,3410.37109375,4351.46875,10088.0625,"{'rc': 0, 'wc': 26, 'rb': 0, 'wb': 196608}","{'sent': -49581981.70269966, 'recv': -5160846877.786295}",3.0,95.30250860796852
2021-03-08 19:18:22.052437,4.1,2696.5625,3637.953125,10088.0625,"{'rc': 0, 'wc': 26, 'rb': 0, 'wb': 196608}","{'sent': -49581981.702510834, 'recv': -5160846877.744633}",8.0,95.30250860796852
2021-03-08 19:18:24.153405,3.7,2695.65625,3637.796875,10088.0625,"{'rc': 0, 'wc': 26, 'rb': 0, 'wb': 196608}","{'sent': -49581981.702510834, 'recv': -5160846877.704121}",8.0,95.30250860796852
2021-03-08 19:18:26.256150,3.6,2696.57421875,3637.9765625,10088.0625,"{'rc': 0, 'wc': 26, 'rb': 0, 'wb': 196608}","{'sent': -49581981.70193672, 'recv': -5160846877.663143}",6.0,95.30250860796852
2021-03-08 19:18:28.354800,3.9,2695.95703125,3638.515625,10088.0625,"{'rc': 0, 'wc': 26, 'rb': 0, 'wb': 196608}","{'sent': -49581981.70193672, 'recv': -5160846877.623947}",8.0,95.30250860796852
2021-03-08 19:18:30.658660,3.5,2695.02734375,3638.1484375,10088.0625,"{'rc': 0, 'wc': 26, 'rb': 0, 'wb': 196608}","{'sent': -49581981.7004118, 'recv': -5160846877.581314}",7.000000000000001,95.30250860796852
2021-03-08 19:18:32.759211,3.9,2694.9609375,3638.15234375,10088.0625,"{'rc': 0, 'wc': 26, 'rb': 0, 'wb': 196608}","{'sent': -49581981.70022297, 'recv': -5160846877.543715}",8.0,95.30250860796852
2021-03-08 19:18:34.859215,3.9,2695.33984375,3638.0546875,10088.0625,"{'rc': 0, 'wc': 26, 'rb': 0, 'wb': 196608}","{'sent': -49581981.70022297, 'recv': -5160846877.504919}",8.0,95.30250860796852
2021-03-08 19:18:36.965291,3.8,2695.171875,3638.01171875,10088.0625,"{'rc': 0, 'wc': 28, 'rb': 0, 'wb': 221184}","{'sent': -49581981.70013714, 'recv': -5160846877.467411}",6.0,95.30250860796852
2021-03-08 19:18:39.065616,3.1,3354.78125,4296.3515625,10088.0625,"{'rc': 0, 'wc': 56, 'rb': 0, 'wb': 372736}","{'sent': -49581981.70013714, 'recv': -5160846877.429474}",0.0,95.30250860796852
